name,meaning,gender
Ishlaika,Hope,Girl
Janeit,Harmony,Boy
Jataans,Wisdom,Girl
Yarin,Wisdom,Girl
Desaesh,Brilliance,Boy
Yamiya,Brilliance,Boy
Adiniansh,Wisdom,Boy
Kimaita,Blessing,Boy
Shanidev,Brilliance,Boy
Dimiita,Brilliance,Boy
Gasan,Grace,Girl
Marua,Wisdom,Boy
Ashloansh,Wisdom,Boy
Shisadeep,Blessing,Boy
Zashian,Hope,Girl
Viruay,Harmony,Girl
Ishniesh,Courage,Boy
Shiniit,Courage,Boy
Parapreet,Courage,Girl
Chavaan,Peace,Girl
Charun,Blessing,Boy
Bhneay,Divine,Girl
Ompaika,Strength,Boy
Raruita,Prosperity,Boy
Chavaika,Brilliance,Girl
Yaraa,Love,Boy
Sakadeep,Blessing,Boy
Zakaita,Prosperity,Boy
Ganeita,Grace,Girl
Layaans,Kindness,Girl
Aarmapreet,Faith,Boy
Shitaraj,Blessing,Girl
Rilaa,Joy,Boy
Ashniita,Blessing,Girl
Banaya,Kindness,Boy
Hapaika,Courage,Girl
Janiita,Energy,Boy
Vikaav,Light,Boy
Avriansh,Energy,Boy
Ommian,Joy,Girl
Praraan,Courage,Girl
Shalodev,Kindness,Girl
Shilaika,Joy,Girl
Zalan,Grace,Girl
Ayviika,Prosperity,Boy
Viyadeep,Love,Boy
Gamiit,Kindness,Girl
Vinideep,Strength,Girl
Omdiay,Grace,Girl
Zaneita,Blessing,Boy
Janeans,Strength,Girl
Diniali,Joy,Boy
Bhvipreet,Joy,Girl
Omlaita,Prosperity,Girl
Trilan,Divine,Girl
Janeesh,Victory,Boy
Trilan,Kindness,Girl
Chalaali,Blessing,Girl
Prataav,Blessing,Boy
Shilaika,Strength,Girl
Shinaa,Divine,Girl
Bataya,Prosperity,Girl
Triloraj,Energy,Girl
Rayaika,Light,Girl
Shamaesh,Harmony,Boy
Rimiav,Peace,Girl
Bhnidev,Prosperity,Boy
Ayvia,Light,Boy
Shayaita,Victory,Girl
Rinaita,Blessing,Girl
Shaniansh,Victory,Girl
Suvaali,Wisdom,Boy
Maripreet,Faith,Boy
Aaloay,Brilliance,Boy
Deyaa,Divine,Girl
Ralaansh,Harmony,Boy
Ripan,Blessing,Boy
Praneita,Victory,Boy
Paloika,Blessing,Boy
Shasaav,Joy,Boy
Ishviansh,Love,Girl
Trisait,Love,Boy
Radian,Brilliance,Girl
Yataita,Peace,Boy
Divaraj,Faith,Boy
Shanedev,Joy,Girl
Yayadeep,Divine,Girl
Taloika,Blessing,Boy
Deneali,Courage,Boy
Ayshiesh,Blessing,Boy
Aardipreet,Wisdom,Boy
Aarradeep,Strength,Boy
Riviya,Blessing,Boy
Kiruit,Blessing,Girl
Jarun,Victory,Girl
Ravia,Hope,Girl
Aarin,Love,Boy
Pravait,Energy,Girl
Danedeep,Brilliance,Girl
Ommaans,Strength,Boy
Jadiay,Grace,Boy
Chaniansh,Hope,Boy
Anvaansh,Harmony,Girl
Rimiav,Strength,Boy
Radiali,Courage,Boy
Bhsadev,Courage,Boy
Sasaans,Joy,Girl
Laruika,Energy,Boy
Kiyaali,Divine,Boy
Aatait,Love,Boy
Bhvaita,Grace,Girl
Takaan,Light,Girl
Pradiika,Harmony,Girl
Tatapreet,Victory,Boy
Zavin,Harmony,Girl
Gataika,Wisdom,Boy
Praraav,Grace,Boy
Shasaansh,Courage,Boy
Chapadev,Grace,Girl
Yasaita,Divine,Girl
Vitaita,Courage,Boy
Sadiav,Divine,Boy
Shilapreet,Wisdom,Boy
Sapaan,Faith,Girl
Aaran,Divine,Girl
Chataraj,Harmony,Boy
Bapan,Faith,Girl
Anvaav,Love,Girl
Dadidev,Prosperity,Boy
Arshian,Brilliance,Boy
Aynin,Light,Girl
Desait,Faith,Girl
Vavipreet,Peace,Girl
Aarshiay,Kindness,Girl
Shayan,Kindness,Girl
Ashnipreet,Grace,Boy
Shiriesh,Energy,Girl
Chavapreet,Peace,Girl
Basaay,Energy,Boy
Surudeep,Strength,Girl
Aymians,Energy,Girl
Kasaika,Light,Girl
Vavapreet,Joy,Boy
Avkaita,Joy,Girl
Ompaita,Blessing,Boy
Pamait,Victory,Girl
Gayaita,Divine,Girl
Jaraan,Love,Boy
Kikan,Prosperity,Girl
Zanaika,Prosperity,Boy
Kavaita,Peace,Boy
Shakaika,Kindness,Boy
Dayaika,Courage,Boy
Jayaesh,Wisdom,Boy
Dirapreet,Brilliance,Boy
Shamiav,Faith,Girl
Shayaansh,Wisdom,Boy
Yanaa,Divine,Girl
Vataika,Joy,Girl
Aamians,Courage,Girl
Vimaesh,Harmony,Boy
Tadideep,Strength,Boy
Susait,Hope,Girl
Prakaesh,Courage,Girl
Chashiay,Divine,Boy
Danadev,Blessing,Girl
Dirua,Faith,Girl
Banaa,Divine,Boy
Rataika,Brilliance,Girl
Aarpapreet,Joy,Boy
Aaviav,Harmony,Girl
Jatapreet,Strength,Girl
Depaan,Joy,Boy
Shinaika,Brilliance,Girl
Viniay,Light,Boy
Ankaan,Faith,Boy
Paruraj,Divine,Girl
Bhlaans,Blessing,Boy
Kashiika,Divine,Boy
Hayaay,Prosperity,Boy
Aapaesh,Divine,Girl
Baneika,Energy,Girl
Panaan,Blessing,Boy
Banaya,Kindness,Boy
Datadev,Strength,Boy
Diyaika,Light,Boy
Aaryaay,Light,Girl
Ashshian,Harmony,Girl
Omniali,Strength,Boy
Disaav,Strength,Boy
Bhmia,Hope,Girl
Naraan,Peace,Boy
Dalait,Hope,Boy
Andiay,Harmony,Girl
Kanideep,Prosperity,Girl
Aalait,Energy,Boy
Zalaali,Kindness,Girl
Shatan,Joy,Girl
Kiradeep,Light,Girl
Ishlaita,Blessing,Girl
Kiloit,Wisdom,Girl
Aarmaika,Blessing,Boy
Omshiika,Prosperity,Girl
Shayaika,Peace,Boy
Avvaraj,Faith,Boy
Kakaav,Joy,Boy
Vanait,Blessing,Girl
Ishnen,Blessing,Boy
Triraans,Prosperity,Boy
Ashvaesh,Kindness,Girl
Naraali,Grace,Girl
Anshiali,Faith,Girl
Adiloya,Wisdom,Girl
Zalaa,Brilliance,Boy
Chania,Love,Girl
Ashnaa,Strength,Girl
Larudev,Love,Boy
Galapreet,Courage,Boy
Zaneya,Faith,Girl
Yashipreet,Blessing,Boy
Lanidev,Grace,Boy
Delaa,Hope,Girl
Bhshin,Joy,Girl
Ashsan,Prosperity,Girl
Jayaesh,Blessing,Boy
Shidiraj,Strength,Boy
Mavaita,Love,Girl
Madiita,Victory,Boy
Vasaan,Prosperity,Boy
Maviit,Energy,Girl
Sumadev,Faith,Girl
Avladev,Faith,Girl
Shasadeep,Peace,Boy
Triraans,Grace,Girl
Gashiika,Divine,Girl
Aalaita,Kindness,Boy
Ashtaita,Faith,Girl
Sunaika,Kindness,Girl
Haraa,Blessing,Boy
Tridiraj,Energy,Boy
Tapaa,Brilliance,Girl
Aayadeep,Energy,Girl
Ishpaesh,Strength,Boy
Adilaesh,Grace,Boy
Raloay,Joy,Girl
Dinadeep,Divine,Boy
Lamapreet,Love,Boy
Shikaay,Brilliance,Girl
Rirudev,Grace,Boy
Kamideep,Love,Boy
Ralaesh,Wisdom,Girl
Aarriraj,Joy,Boy
Hasaita,Blessing,Boy
Vanaesh,Divine,Boy
Prashiansh,Light,Boy
Naniesh,Kindness,Boy
Nasaika,Blessing,Girl
Lasaan,Hope,Boy
Adinadeep,Harmony,Boy
Pariika,Strength,Boy
Aarvian,Blessing,Boy
Dayadev,Love,Girl
Garadeep,Strength,Girl
Danaya,Brilliance,Boy
Nakan,Strength,Girl
Bhviit,Hope,Boy
Aashiita,Kindness,Boy
Arnaika,Peace,Boy
Pashideep,Divine,Girl
Deyaika,Light,Boy
Bayaika,Energy,Girl
Vipadeep,Hope,Boy
Kikadeep,Joy,Boy
Kaniraj,Love,Girl
Rakaika,Grace,Girl
Rikaa,Wisdom,Boy
Jataika,Peace,Girl
Aartaali,Peace,Boy
Aarnaan,Peace,Boy
Aamideep,Victory,Boy
Adilaansh,Strength,Boy
Zamaya,Peace,Boy
Chaniika,Brilliance,Boy
Takan,Brilliance,Boy
Bhneita,Courage,Boy
Sukan,Prosperity,Girl
Laraya,Blessing,Boy
Jakaika,Divine,Boy
Viriya,Love,Girl
Depaita,Harmony,Boy
Trinedev,Joy,Girl
Chamaika,Prosperity,Girl
Avlaika,Kindness,Girl
Damians,Joy,Girl
Janapreet,Courage,Girl
Omshian,Joy,Boy
Devaika,Blessing,Boy
Takapreet,Blessing,Girl
Larin,Brilliance,Girl
Sutaita,Faith,Boy
Tayaali,Light,Boy
Lakaika,Peace,Boy
Chakaay,Divine,Boy
Adiloali,Faith,Boy
Ishruan,Victory,Girl
Aarriraj,Grace,Girl
Ashniita,Hope,Girl
Naria,Love,Girl
Shasadev,Prosperity,Girl
Ishvia,Wisdom,Boy
Aashiraj,Harmony,Boy
Arsadev,Energy,Girl
Vararaj,Wisdom,Girl
Trimait,Kindness,Boy
Bayaansh,Peace,Boy
Chataa,Blessing,Boy
Vipaali,Hope,Girl
Mashiali,Brilliance,Boy
Anyait,Prosperity,Boy
Didiesh,Blessing,Boy
Gataesh,Courage,Girl
Avran,Love,Boy
Aardians,Prosperity,Boy
Yavaay,Joy,Boy
Salaraj,Brilliance,Girl
Saniesh,Divine,Boy
Bhlon,Victory,Girl
Ishraan,Wisdom,Girl
Paraika,Courage,Girl
Baruya,Brilliance,Girl
Avnideep,Energy,Boy
Trinea,Divine,Girl
Tataika,Blessing,Girl
Ramaya,Grace,Boy
Mapaika,Peace,Boy
Trisaika,Strength,Boy
Deviay,Harmony,Boy
Yamiita,Courage,Girl
Shanean,Love,Boy
Rakaraj,Wisdom,Boy
Yavaya,Grace,Boy
Varapreet,Hope,Girl
Vikaraj,Blessing,Boy
Aamians,Light,Boy
Depaesh,Grace,Boy
Omtaa,Peace,Boy
Delaika,Wisdom,Girl
Aashiika,Love,Boy
Chalaan,Joy,Girl
Artaan,Peace,Girl
Paniya,Light,Girl
Ishvia,Courage,Boy
Jaladev,Prosperity,Girl
Suruan,Wisdom,Girl
Laloika,Strength,Girl
Yakaay,Blessing,Boy
Aarshia,Kindness,Boy
Haruans,Grace,Boy
Nariav,Victory,Boy
Adimaav,Energy,Boy
Kamiit,Faith,Boy
Bhshiika,Prosperity,Boy
Sakaika,Victory,Boy
Larapreet,Grace,Girl
Larapreet,Love,Girl
Anraita,Wisdom,Girl
Zaniansh,Victory,Girl
Tavin,Harmony,Boy
Pramaav,Hope,Boy
Ashlaika,Divine,Boy
Hasaans,Strength,Boy
Avneika,Faith,Girl
Charuika,Faith,Boy
Lamadev,Brilliance,Boy
Anniesh,Love,Girl
Jalaika,Faith,Boy
Ranin,Courage,Girl
Dilon,Peace,Girl
Kiria,Prosperity,Girl
Dimiita,Brilliance,Girl
Aarruraj,Faith,Boy
Chayadeep,Hope,Boy
Mavaay,Joy,Boy
Ayloita,Kindness,Boy
Zanean,Grace,Boy
Anlait,Harmony,Girl
Kanaav,Courage,Boy
Bhpan,Blessing,Boy
Triyaika,Brilliance,Boy
Nanaa,Brilliance,Boy
Aartaay,Grace,Girl
Masaansh,Energy,Boy
Ashkaraj,Light,Boy
Rishiav,Victory,Boy
Dediay,Blessing,Boy
Ayviraj,Courage,Girl
Viyaika,Brilliance,Boy
Ralaita,Light,Girl
Gataa,Faith,Boy
Rivapreet,Peace,Boy
Ashkaita,Light,Boy
Avloesh,Victory,Boy
Chavaali,Kindness,Boy
Mashideep,Divine,Girl
Gamiansh,Brilliance,Girl
Danaans,Brilliance,Girl
Aarneya,Blessing,Girl
Ayrapreet,Light,Boy
Trilan,Strength,Boy
Tasait,Prosperity,Girl
Lalaita,Wisdom,Boy
Bhradev,Courage,Boy
Yayaa,Harmony,Boy
Taloav,Divine,Girl
Ravaika,Blessing,Boy
Ritaesh,Joy,Girl
Kinaansh,Prosperity,Girl
Bapaay,Grace,Girl
Suloita,Love,Girl
Aryaan,Strength,Girl
Avyaika,Wisdom,Girl
Adilaali,Peace,Girl
Shariika,Grace,Girl
Adiruav,Victory,Boy
Hapaika,Light,Boy
Dapaansh,Peace,Boy
Omvaraj,Joy,Boy
Aanaraj,Harmony,Boy
Dadiita,Faith,Girl
Antaesh,Wisdom,Boy
Shaniit,Faith,Girl
Viloita,Strength,Girl
Viran,Courage,Girl
Tashiit,Wisdom,Boy
Avkaika,Victory,Girl
Bhkait,Wisdom,Boy
Kipaan,Victory,Boy
Daraita,Energy,Boy
Yarua,Joy,Girl
Ranaita,Energy,Girl
Aardiraj,Strength,Girl
Deviika,Brilliance,Boy
Aayaans,Kindness,Boy
Anrupreet,Joy,Girl
Shataay,Prosperity,Boy
Prariesh,Grace,Girl
Daviika,Peace,Girl
Sakaya,Courage,Girl
Zasaya,Kindness,Boy
Garuita,Joy,Girl
Praran,Peace,Girl
Trineali,Divine,Boy
Aalaraj,Prosperity,Boy
Ishkaa,Peace,Girl
Chataesh,Brilliance,Girl
Triruan,Faith,Boy
Ompaa,Strength,Girl
Radiraj,Victory,Girl
Jaloita,Prosperity,Girl
Talait,Harmony,Girl
Salodev,Grace,Boy
Omviav,Grace,Girl
Arloika,Kindness,Boy
Varia,Light,Girl
Tamadeep,Kindness,Boy
Taman,Light,Boy
Vamaav,Divine,Girl
Bamaans,Strength,Girl
Rayait,Love,Girl
Baloika,Divine,Girl
Gashideep,Divine,Girl
Bashiansh,Brilliance,Girl
Variika,Light,Girl
Sushidev,Peace,Boy
Havadeep,Peace,Boy
Kashiita,Energy,Boy
Zanaesh,Victory,Boy
Shitaita,Energy,Girl
Jayapreet,Victory,Boy
Rapaika,Divine,Boy
Bamiya,Strength,Girl
Aarrudev,Brilliance,Boy
Samaya,Brilliance,Girl
Sanaika,Prosperity,Boy
Ashkait,Light,Girl
Gariay,Brilliance,Boy
Bhkaans,Joy,Girl
Trineita,Love,Girl
Omvaraj,Prosperity,Girl
Omdia,Love,Boy
Taviika,Kindness,Girl
Dekaesh,Joy,Boy
Gayaay,Hope,Boy
Diviit,Blessing,Girl
Bhraita,Grace,Girl
Masaan,Hope,Boy
Saloika,Joy,Boy
Yapadev,Victory,Boy
Galaya,Blessing,Boy
Tririans,Divine,Girl
Jaraita,Harmony,Girl
Aarlaraj,Prosperity,Girl
Chashian,Hope,Girl
Taruya,Courage,Girl
Aaloali,Courage,Girl
Ganideep,Victory,Girl
Radiraj,Faith,Boy
Zaridev,Blessing,Girl
Vasaan,Kindness,Girl
Ishruansh,Joy,Girl
Riviya,Courage,Girl
Ganin,Joy,Girl
Sunapreet,Courage,Boy
Hanaali,Wisdom,Girl
Aalaika,Strength,Boy
Aarshians,Wisdom,Boy
Aamiali,Hope,Boy
Aarraraj,Wisdom,Girl
Kimaay,Harmony,Boy
Aaruraj,Faith,Boy
Dipaav,Joy,Girl
Aarvians,Victory,Boy
Diruika,Blessing,Girl
Sakadev,Harmony,Girl
Ashpaali,Brilliance,Boy
Bakaansh,Energy,Girl
Zaniika,Joy,Girl
Havadev,Peace,Boy
Aarvaita,Grace,Girl
Avneay,Love,Girl
Harupreet,Kindness,Girl
Adivians,Peace,Girl
Hasaa,Energy,Girl
Yapaav,Kindness,Boy
Ganaav,Peace,Boy
Adimipreet,Grace,Girl
Ankaansh,Divine,Girl
Hapaa,Courage,Girl
Ishtaika,Love,Boy
Kiladev,Brilliance,Boy
Natadev,Love,Girl
Bhnia,Love,Boy
Kiviay,Grace,Boy
Ashneya,Strength,Girl
Samiansh,Hope,Boy
Prariit,Light,Boy
Omshipreet,Joy,Boy
Lamaav,Peace,Boy
Danaika,Joy,Boy
Taraya,Harmony,Boy
Ishsaika,Courage,Girl
Aarviika,Divine,Girl
Pranaika,Love,Girl
Praviraj,Hope,Girl
Anrun,Hope,Boy
Pralan,Grace,Boy
Bhruita,Strength,Girl
Mamiita,Blessing,Boy
Ashkaansh,Wisdom,Girl
Aarloav,Blessing,Girl
Kinaita,Grace,Girl
Taniraj,Divine,Boy
Bhloraj,Energy,Girl
Shavaika,Love,Boy
Aamiraj,Hope,Boy
Mamaika,Prosperity,Boy
Shaneita,Blessing,Boy
Rariika,Grace,Boy
Rakaav,Victory,Boy
Adiviita,Brilliance,Girl
Aarvaay,Blessing,Girl
Ashvaya,Brilliance,Girl
Zanaraj,Energy,Boy
Bakaika,Light,Boy
Shishin,Divine,Boy
Tasadev,Hope,Boy
Pratadev,Joy,Girl
Pariit,Kindness,Boy
Bataita,Joy,Boy
Jaruans,Divine,Boy
Zanaita,Love,Boy
Suloay,Strength,Girl
Chalaika,Strength,Girl
Chaniika,Love,Boy
Napaita,Strength,Boy
Suneesh,Grace,Girl
Annaans,Courage,Girl
Rataya,Wisdom,Girl
Aardiika,Energy,Boy
Bhvaansh,Brilliance,Boy
Gavadev,Hope,Girl
Hashiya,Blessing,Boy
Batapreet,Light,Boy
Savadev,Kindness,Boy
Bhsait,Light,Girl
Yashiay,Wisdom,Boy
Viruika,Light,Girl
Shisaav,Strength,Girl
Rarun,Courage,Boy
Zaneali,Brilliance,Boy
Nataa,Strength,Girl
Zaloita,Harmony,Boy
Shaloika,Kindness,Girl
Mavaav,Peace,Boy
Kidin,Blessing,Boy
Shiyaita,Divine,Girl
Tasaa,Prosperity,Boy
Avlaansh,Harmony,Girl
Yaruika,Victory,Girl
Detapreet,Divine,Girl
Raladev,Courage,Girl
Masaita,Kindness,Boy
Ritaika,Kindness,Girl
Ashmaav,Harmony,Boy
Kapaa,Strength,Girl
Jashiika,Prosperity,Boy
Ayshiay,Brilliance,Girl
Raraan,Prosperity,Girl
Sunideep,Divine,Boy
Dimiesh,Kindness,Girl
Ramaansh,Wisdom,Boy
Divaika,Victory,Girl
Ishlaika,Light,Boy
Trimiika,Energy,Girl
Dikait,Energy,Boy
Savaya,Harmony,Boy
Aylait,Joy,Boy
Lashiita,Hope,Girl
Dipaa,Brilliance,Boy
Deniita,Courage,Girl
Rimiay,Peace,Boy
Vimiav,Strength,Girl
Vapaika,Blessing,Boy
Ayraika,Love,Girl
Baparaj,Harmony,Girl
Ashvaali,Courage,Boy
Jalaraj,Strength,Boy
Taloan,Harmony,Girl
Prariika,Divine,Boy
Janaita,Harmony,Girl
Ayloika,Victory,Boy
Halodev,Strength,Girl
Avrait,Peace,Girl
Arvan,Kindness,Girl
Shilaesh,Courage,Boy
Kaneali,Kindness,Girl
Aapaesh,Courage,Boy
Rasaika,Grace,Girl
Ashvaansh,Divine,Boy
Susadeep,Grace,Girl
Zapaay,Courage,Boy
Praviika,Blessing,Girl
Shaladeep,Light,Boy
Ririika,Light,Girl
Taruita,Peace,Girl
Vanaan,Harmony,Girl
Ishyaans,Strength,Boy
Armaita,Light,Boy
Ashnadeep,Prosperity,Boy
Aditaansh,Kindness,Girl
Anraans,Blessing,Girl
Ishpaika,Energy,Girl
Maviay,Peace,Boy
Bhrin,Prosperity,Girl
Zaruika,Peace,Girl
Haneika,Faith,Boy
Vamadev,Brilliance,Girl
Trisaya,Harmony,Boy
Ravaesh,Strength,Boy
Kineika,Hope,Girl
Shapait,Prosperity,Boy
Pralaali,Kindness,Boy
Gavideep,Love,Girl
Ridiansh,Brilliance,Girl
Suvan,Hope,Girl
Aarneika,Energy,Girl
Aaviansh,Peace,Boy
Anpaika,Harmony,Boy
Arvaika,Joy,Girl
Yalaika,Brilliance,Boy
Viniita,Blessing,Girl
Adisaansh,Victory,Boy
Kasaans,Peace,Girl
Aalaita,Hope,Boy
Rataans,Courage,Boy
Avtaansh,Energy,Boy
Garidev,Faith,Girl
Tadiika,Brilliance,Girl
Javian,Faith,Boy
Jasadev,Wisdom,Boy
Vaniansh,Faith,Girl
Viriay,Light,Boy
Bamaika,Joy,Girl
Kirian,Harmony,Girl
Haloit,Divine,Girl
Vamaesh,Harmony,Boy
Bamiav,Courage,Boy
Diloita,Love,Girl
Naneya,Peace,Girl
Shashiay,Courage,Girl
Shaloav,Brilliance,Boy
Ashdiav,Harmony,Girl
Vishiya,Joy,Girl
Savaa,Prosperity,Boy
Aarmiita,Light,Boy
Chashia,Harmony,Girl
Aaneesh,Strength,Boy
Aalapreet,Brilliance,Boy
Pamaansh,Blessing,Girl
Vavians,Light,Girl
Shirun,Love,Boy
Adiriay,Courage,Girl
Pranaita,Peace,Boy
Trineita,Hope,Boy
Javaans,Strength,Boy
Ishriav,Grace,Boy
Rirideep,Courage,Boy
Janaali,Wisdom,Boy
Kiruansh,Strength,Girl
Triladeep,Peace,Girl
Demaika,Divine,Girl
Ashnipreet,Strength,Girl
Kalaika,Blessing,Boy
Omyadeep,Wisdom,Boy
Ashshiraj,Wisdom,Girl
Yakaika,Kindness,Girl
Trilapreet,Joy,Girl
Lashideep,Love,Girl
Panideep,Victory,Boy
Vitaika,Energy,Girl
Aaryaan,Harmony,Boy
Ayvadev,Brilliance,Boy
Zarapreet,Wisdom,Boy
Karupreet,Peace,Boy
Bhpadeep,Brilliance,Boy
Triraans,Hope,Girl
Jadians,Energy,Boy
Diman,Grace,Girl
Ridiansh,Wisdom,Boy
Dakaesh,Prosperity,Boy
Arruraj,Divine,Girl
Aamaans,Brilliance,Boy
Shipaansh,Joy,Boy
Zaruika,Love,Girl
Nasaay,Faith,Boy
Suriita,Light,Boy
Viloav,Strength,Girl
Tayaali,Courage,Boy
Prarian,Love,Boy
Saraav,Wisdom,Boy
Shiviya,Peace,Girl
Vineika,Hope,Girl
Ompapreet,Courage,Girl
Laruika,Kindness,Boy
Ishlait,Harmony,Boy
Ashruika,Faith,Boy
Demiit,Courage,Boy
Divia,Brilliance,Girl
Zavaraj,Victory,Girl
Rataay,Light,Boy
Kikaesh,Peace,Boy
Hamadeep,Victory,Boy
Dataika,Brilliance,Girl
Bhvian,Prosperity,Girl
Datan,Brilliance,Boy
Susaika,Light,Boy
Antaav,Strength,Boy
Avsaa,Victory,Boy
Bhripreet,Wisdom,Girl
Kamiesh,Kindness,Girl
Adikait,Harmony,Girl
Avmiya,Wisdom,Girl
Hadiika,Love,Girl
Arvipreet,Blessing,Girl
Ayvia,Peace,Girl
Adikadev,Joy,Boy
Anmian,Courage,Boy
Baraan,Courage,Boy
Kishiita,Courage,Boy
Kayaans,Harmony,Boy
Gataika,Divine,Girl
Aytaya,Harmony,Boy
Jakaav,Love,Girl
Galan,Brilliance,Boy
Yakan,Energy,Girl
Makaita,Faith,Boy
Nakaita,Divine,Girl
Panaraj,Hope,Girl
Daviika,Grace,Girl
Kiviika,Harmony,Girl
Nasan,Hope,Boy
Pradiita,Brilliance,Boy
Anpadev,Blessing,Boy
Chalaa,Hope,Boy
Omnaika,Hope,Girl
Annian,Brilliance,Girl
Virun,Peace,Boy
Jaraesh,Faith,Boy
Jalaesh,Brilliance,Boy
Lavaesh,Hope,Girl
Chasait,Grace,Boy
Aayaay,Brilliance,Boy
Dalaya,Love,Girl
Yavaraj,Harmony,Girl
Shapaika,Kindness,Girl
Tayaan,Kindness,Boy
Zaraav,Faith,Girl
Ashmaansh,Grace,Boy
Maloita,Strength,Girl
Aynipreet,Wisdom,Girl
Dariansh,Light,Girl
Daruraj,Faith,Girl
Raloika,Energy,Girl
Ishloika,Grace,Girl
Tritaika,Kindness,Girl
Jamadev,Wisdom,Girl
Jariya,Grace,Girl
Bariika,Prosperity,Boy
Trisaraj,Wisdom,Girl
Aalaika,Brilliance,Girl
Bhpaay,Faith,Boy
Shinait,Divine,Boy
Ankaita,Harmony,Boy
Kikaita,Light,Girl
Bhshideep,Divine,Boy
Danipreet,Blessing,Boy
Deruan,Energy,Boy
Bhmaika,Light,Girl
Aarmiraj,Harmony,Boy
Anraesh,Hope,Girl
Vavan,Strength,Girl
Adimians,Divine,Boy
Adilaraj,Hope,Boy
Baniay,Energy,Girl
Vasait,Blessing,Boy
Vaviay,Peace,Girl
Raviav,Grace,Boy
Ayladev,Victory,Girl
Jamiita,Light,Boy
Arraika,Love,Girl
Avria,Blessing,Girl
Chanians,Light,Boy
Trineika,Victory,Boy
Baniika,Peace,Girl
Arshiav,Love,Boy
Aarpapreet,Strength,Boy
Bamiit,Joy,Girl
Hataraj,Strength,Boy
Aashiya,Victory,Boy
Arraika,Strength,Boy
Arkaansh,Joy,Girl
Tashiav,Wisdom,Boy
Zamaika,Hope,Girl
Sariansh,Love,Girl
Praraita,Joy,Boy
Ravaika,Brilliance,Boy
Visadev,Faith,Girl
Kaloav,Love,Boy
Avloika,Harmony,Boy
Patapreet,Love,Boy
Anyadeep,Energy,Girl
Trishidev,Love,Boy
Pranadev,Joy,Girl
Zashians,Love,Boy
Hanaraj,Joy,Boy
Avriika,Brilliance,Girl
Ashpan,Strength,Girl
Kania,Strength,Girl
Ommaya,Victory,Girl
Viraita,Divine,Girl
Supaan,Strength,Girl
Shiloita,Faith,Girl
Bhnea,Courage,Boy
Shivin,Victory,Boy
Aarlaesh,Faith,Boy
Avraali,Brilliance,Girl
Suniesh,Courage,Girl
Pamaita,Joy,Girl
Ayviika,Brilliance,Boy
Ashmaesh,Courage,Girl
Omraika,Strength,Boy
Omdiika,Wisdom,Boy
Ayraika,Light,Girl
Gapaan,Divine,Boy
Rimiesh,Hope,Boy
