name,meaning,gender
Arviita,Victory,Boy
Maniesh,Strength,Boy
Mamiika,Peace,Boy
Diran,Divine,Girl
Lapaita,Prosperity,Girl
Adimiika,Hope,Boy
Ditaans,Peace,Boy
Nakaay,Peace,Boy
Yapaav,Wisdom,Boy
Anruya,Grace,Boy
Ayvaita,Love,Boy
Havin,Harmony,Boy
Shimiay,Kindness,Girl
Aakaika,Brilliance,Boy
Ishnaika,Hope,Girl
Maruya,Victory,Girl
Shipaansh,Wisdom,Boy
Adimadeep,Joy,Girl
Anladeep,Prosperity,Boy
Nataika,Harmony,Girl
Baviika,Hope,Boy
Aaryaay,Prosperity,Girl
Rapaav,Divine,Girl
Nanians,Harmony,Boy
Ashtadeep,Joy,Girl
Larian,Divine,Girl
Vidian,Harmony,Girl
Gamiita,Strength,Boy
Praraika,Light,Girl
Gavait,Hope,Girl
Takaya,Harmony,Boy
Varuita,Wisdom,Boy
Pakaay,Joy,Girl
Karin,Divine,Boy
Garaika,Harmony,Girl
Marideep,Grace,Boy
Devin,Harmony,Girl
Ralaika,Wisdom,Boy
Mataay,Wisdom,Boy
Viyaika,Brilliance,Girl
Vashiansh,Love,Girl
Suvaraj,Joy,Boy
Anyait,Harmony,Girl
Ishnaita,Brilliance,Boy
Dasaan,Love,Boy
Ashnaya,Joy,Boy
Sukaav,Light,Girl
Vinaita,Harmony,Girl
Shimia,Strength,Girl
Ravians,Light,Girl
Kasan,Strength,Girl
Kikaesh,Energy,Boy
Ayniali,Victory,Girl
Aaviika,Divine,Girl
Bhniali,Love,Boy
Arladeep,Light,Boy
Lapaita,Kindness,Girl
Ritaan,Kindness,Boy
Avsaans,Brilliance,Boy
Shivadeep,Kindness,Girl
Kirin,Strength,Girl
Diriika,Prosperity,Girl
Gataans,Hope,Boy
Sudiesh,Harmony,Boy
Varadeep,Light,Girl
Haradeep,Energy,Girl
Vilaika,Divine,Girl
Riraa,Prosperity,Boy
Omyaika,Hope,Girl
Mamaay,Energy,Boy
Aashiika,Victory,Girl
Vitaika,Hope,Girl
Aarriay,Kindness,Girl
Bhlaesh,Strength,Boy
Shashiansh,Peace,Boy
Arman,Love,Girl
Raniika,Joy,Boy
Bhshiika,Joy,Boy
Ashsan,Peace,Boy
Rishiita,Victory,Boy
Vavaika,Wisdom,Girl
Vavideep,Brilliance,Boy
Samiya,Hope,Boy
Ayshiika,Wisdom,Boy
Chavaraj,Light,Boy
Hataraj,Prosperity,Girl
Bariika,Harmony,Boy
Maraav,Divine,Girl
Karia,Harmony,Boy
Kavaa,Hope,Boy
Tririan,Divine,Boy
Vimiit,Harmony,Girl
Didiya,Hope,Boy
Lamaita,Peace,Boy
Kadia,Prosperity,Boy
Kavaa,Strength,Girl
Variita,Kindness,Girl
Pamiika,Energy,Boy
Pamaika,Victory,Boy
Napaav,Strength,Boy
Palaya,Grace,Girl
Garaita,Strength,Girl
Aarait,Wisdom,Boy
Larait,Strength,Girl
Rapait,Kindness,Girl
Chasaita,Strength,Boy
Anviansh,Wisdom,Girl
Diruay,Love,Boy
Charuika,Kindness,Boy
Vamiali,Peace,Boy
Rishiita,Peace,Boy
Suvaay,Grace,Girl
Viviika,Light,Boy
Baruika,Kindness,Girl
Samaika,Grace,Boy
Aarsaay,Light,Boy
Shidiita,Victory,Girl
Adikaans,Divine,Boy
Artaali,Victory,Boy
Ashdiika,Love,Boy
Triyaay,Wisdom,Girl
Prataika,Light,Girl
Avmadeep,Energy,Boy
Dapaya,Hope,Girl
Avyan,Light,Girl
Omnaesh,Hope,Boy
Anshiita,Light,Girl
Prataan,Energy,Boy
Delaya,Peace,Girl
Ishyaesh,Divine,Boy
Trinaan,Grace,Girl
Adiriika,Victory,Boy
Deraita,Peace,Girl
Aayaav,Strength,Boy
Daraesh,Peace,Girl
Nasaika,Hope,Boy
Bhlaika,Light,Girl
Vaviita,Hope,Girl
Gashiita,Grace,Boy
Kadiraj,Prosperity,Girl
Ditaika,Hope,Boy
Viyaya,Wisdom,Boy
Pamaita,Strength,Boy
Shirait,Kindness,Boy
Valaika,Harmony,Boy
Kadiav,Prosperity,Girl
Diriya,Grace,Girl
Shikaika,Hope,Boy
Adiruika,Joy,Boy
Aarlaay,Harmony,Girl
Chadiraj,Prosperity,Boy
Kariesh,Victory,Girl
Vikaita,Joy,Girl
Bhvait,Divine,Girl
Nalaika,Peace,Girl
Ashriika,Light,Boy
Tripaya,Victory,Boy
Ishvaa,Brilliance,Girl
Shidiali,Grace,Girl
Dashiit,Energy,Boy
Aanaa,Victory,Girl
Bavideep,Divine,Girl
Ayrian,Prosperity,Boy
Anyaali,Harmony,Girl
Dinadeep,Strength,Boy
Viriita,Joy,Girl
Sakadeep,Love,Boy
Arniav,Victory,Girl
Pataa,Joy,Girl
Bhmaansh,Harmony,Boy
Adirin,Hope,Boy
Damaesh,Divine,Boy
Vataya,Wisdom,Girl
Yavia,Love,Girl
Kalaav,Light,Girl
Anraika,Victory,Boy
Shitadeep,Light,Boy
Tadian,Energy,Girl
Prariay,Hope,Boy
Sulaansh,Energy,Boy
Gadiav,Light,Girl
Diraita,Kindness,Girl
Sapaika,Joy,Girl
Sunan,Light,Boy
Bhdiav,Love,Boy
Avlaika,Strength,Girl
Haruika,Hope,Boy
Aamaya,Harmony,Boy
Antaa,Joy,Boy
Saviika,Joy,Girl
Aardiika,Kindness,Girl
Naraika,Energy,Boy
Damaika,Light,Boy
Shasan,Victory,Girl
Vashiraj,Hope,Girl
Bapaika,Joy,Girl
Bhriraj,Joy,Boy
Vamiika,Energy,Boy
Sadiay,Grace,Girl
Garaya,Peace,Boy
Omniika,Prosperity,Girl
Bhvaika,Love,Girl
Rishiraj,Joy,Boy
Bhpaans,Hope,Boy
Lapaika,Grace,Girl
Baruita,Love,Boy
Aapaa,Brilliance,Boy
Rayaita,Harmony,Girl
Dadiika,Hope,Boy
Pramadeep,Harmony,Boy
Latan,Brilliance,Boy
Variika,Prosperity,Girl
Aarshiya,Divine,Boy
Shadiika,Kindness,Boy
Maraika,Prosperity,Boy
Rakaali,Peace,Boy
Kavia,Joy,Girl
Sunaika,Light,Boy
Paraita,Harmony,Girl
Kiriya,Strength,Boy
Shitadeep,Wisdom,Boy
Aapait,Joy,Boy
Trivaya,Prosperity,Girl
Yamaita,Energy,Girl
Aarsaika,Energy,Boy
Hanideep,Wisdom,Boy
Gamiav,Light,Girl
Aarmiav,Peace,Girl
Viruesh,Hope,Boy
Avshiita,Light,Girl
Kavaya,Victory,Boy
Tritaay,Energy,Girl
Disaika,Harmony,Girl
Bavaa,Love,Girl
Pashin,Joy,Boy
Bamaika,Victory,Boy
Viriika,Wisdom,Boy
Omvan,Energy,Boy
Pakaika,Hope,Boy
Pravadeep,Kindness,Girl
Payan,Prosperity,Boy
Bhraay,Love,Boy
Vayaya,Kindness,Boy
Deraraj,Light,Boy
Avnaansh,Light,Girl
Trishiika,Kindness,Girl
Yanaika,Light,Boy
Yaviesh,Grace,Girl
Ommiali,Harmony,Girl
Adiladeep,Joy,Girl
Larua,Harmony,Boy
Haraika,Kindness,Girl
Vataansh,Wisdom,Girl
Bhnaans,Grace,Boy
Jarait,Harmony,Girl
Vishiay,Grace,Girl
Ishniika,Kindness,Girl
Sayaansh,Light,Girl
Shishiika,Hope,Girl
Rayaika,Divine,Girl
Omshiita,Energy,Girl
Shitaika,Light,Boy
Aaniay,Love,Boy
Vidiita,Love,Girl
Taniika,Brilliance,Girl
Dalaika,Energy,Girl
Avruita,Strength,Girl
Chashiesh,Light,Girl
Praruesh,Kindness,Girl
Diruita,Kindness,Girl
Mamiit,Wisdom,Boy
Maviika,Peace,Boy
Shidideep,Harmony,Boy
Aarruansh,Love,Girl
Arkaika,Harmony,Girl
Manaa,Energy,Boy
Vashiay,Divine,Boy
Ardiesh,Harmony,Boy
Gayaa,Victory,Boy
Bhshiika,Strength,Boy
Lataav,Joy,Boy
Prariit,Peace,Girl
Avruika,Kindness,Boy
Bhlan,Energy,Boy
Banaika,Love,Girl
Charuali,Grace,Girl
Halaya,Harmony,Boy
Bhriita,Harmony,Girl
Yayaay,Victory,Boy
Makaya,Light,Girl
Ishruan,Victory,Boy
Ladiika,Strength,Girl
Kavait,Light,Girl
Nashin,Energy,Girl
Ashmiesh,Energy,Boy
Maladeep,Love,Boy
Yasaita,Wisdom,Boy
Artaika,Love,Boy
Kaniika,Love,Girl
Viviika,Kindness,Girl
Bhriya,Divine,Boy
Kanaita,Energy,Girl
Deviika,Light,Boy
Arnaesh,Strength,Boy
Shataa,Light,Girl
Saviika,Light,Girl
Tapaan,Energy,Girl
Shamiika,Harmony,Boy
Avmaansh,Joy,Boy
Taruita,Energy,Boy
Hakaika,Light,Boy
Aarsan,Hope,Girl
Javaan,Hope,Boy
Arpaya,Hope,Girl
Trimaya,Harmony,Boy
Yakaay,Grace,Boy
Lashiika,Light,Girl
Anpaika,Light,Girl
Vamideep,Divine,Boy
Omraika,Joy,Girl
Adiviya,Harmony,Boy
Bhraya,Brilliance,Girl
Avriita,Love,Boy
Javaika,Peace,Boy
Adishideep,Peace,Girl
Dapaita,Harmony,Girl
Radiraj,Joy,Boy
Lanaansh,Hope,Boy
Mapaika,Peace,Boy
Vaniika,Joy,Boy
Aryaav,Grace,Girl
Jadiit,Strength,Girl
Avkait,Love,Girl
Sharaesh,Divine,Girl
Avriika,Harmony,Girl
Ashriay,Grace,Boy
Japaa,Brilliance,Girl
Kidiit,Harmony,Girl
Ishkaika,Light,Boy
Aarmaali,Harmony,Girl
Vimaans,Hope,Boy
Samiika,Brilliance,Girl
Gasaesh,Brilliance,Girl
Adikaay,Energy,Boy
Pamiesh,Strength,Boy
Ashyaya,Harmony,Girl
Yayaya,Peace,Girl
Aymiesh,Prosperity,Boy
Raruraj,Joy,Boy
Omlan,Wisdom,Girl
Yariita,Kindness,Girl
Bashiit,Strength,Girl
Dimiali,Kindness,Girl
Ashparaj,Energy,Boy
Diviit,Grace,Girl
Ishniita,Divine,Boy
Taniav,Peace,Boy
Sanaraj,Victory,Girl
Shimideep,Joy,Girl
Varadeep,Joy,Girl
Charideep,Brilliance,Boy
Andiesh,Joy,Girl
Namaraj,Grace,Girl
Bhraika,Strength,Girl
Avvaika,Wisdom,Boy
Aysaan,Brilliance,Girl
Davaali,Kindness,Boy
Ashruika,Brilliance,Boy
Aarmaali,Kindness,Girl
Gakaita,Kindness,Boy
Aarlaraj,Grace,Girl
Aamaika,Victory,Girl
Garian,Victory,Girl
Ashdiya,Harmony,Boy
Mavaika,Wisdom,Boy
Gashiay,Strength,Girl
Manians,Joy,Girl
Chakaa,Prosperity,Boy
Vitaita,Peace,Girl
Vilaika,Joy,Boy
Pramaya,Grace,Boy
Savaay,Strength,Girl
Aalaansh,Kindness,Boy
Chaniit,Hope,Girl
Ishdians,Brilliance,Girl
Riruika,Light,Girl
Delaansh,Divine,Boy
Armia,Love,Girl
Laviali,Brilliance,Girl
Aasaita,Divine,Girl
Kamiali,Light,Boy
Sakaali,Peace,Boy
Shivaita,Strength,Boy
Omraesh,Harmony,Girl
Tanideep,Brilliance,Girl
Ayriit,Harmony,Girl
Sapaay,Prosperity,Boy
Vitaika,Grace,Girl
Kiriika,Joy,Boy
Avniesh,Love,Boy
Yakaan,Victory,Girl
Aalaika,Brilliance,Girl
Risait,Kindness,Girl
Diniali,Kindness,Girl
Hasaya,Kindness,Girl
Ashnaita,Victory,Girl
Adiriesh,Grace,Boy
Rinaika,Grace,Boy
Chalaika,Divine,Boy
Havaali,Kindness,Girl
Avsaika,Peace,Boy
Hataita,Grace,Girl
Chataika,Joy,Girl
Papadeep,Brilliance,Girl
Tamaesh,Joy,Girl
Aamaya,Brilliance,Girl
Adiniika,Divine,Boy
Sayaika,Energy,Boy
Aypaesh,Strength,Girl
Suyaita,Prosperity,Girl
Aararaj,Love,Girl
Pasaya,Harmony,Boy
Anviika,Brilliance,Boy
Chavaika,Grace,Boy
Shinaika,Joy,Girl
Kiniesh,Peace,Boy
Anviika,Harmony,Boy
Ridiay,Light,Boy
Chariansh,Joy,Boy
Ashkaya,Wisdom,Girl
Lalan,Wisdom,Girl
Pravideep,Victory,Boy
Bhvaya,Kindness,Girl
Pataav,Grace,Girl
Yariika,Love,Boy
Nashiay,Love,Girl
Chadiya,Divine,Boy
Jadiesh,Wisdom,Boy
Aarruit,Love,Boy
Ishtaika,Peace,Girl
Kalaraj,Peace,Girl
Laviesh,Energy,Girl
Daviya,Light,Girl
Baria,Peace,Boy
Kilaali,Divine,Girl
Maniit,Prosperity,Boy
Pamaika,Hope,Girl
Gapait,Joy,Girl
Kamiav,Prosperity,Boy
Trikaita,Wisdom,Girl
Deyaita,Hope,Girl
Aytadeep,Brilliance,Girl
Omviansh,Grace,Boy
Taviika,Energy,Boy
Namiya,Strength,Boy
Ardiav,Kindness,Boy
Pakaika,Energy,Girl
Aarraan,Wisdom,Girl
Ratan,Victory,Boy
Shariita,Love,Girl
Ravaika,Hope,Girl
Varuansh,Kindness,Girl
Arviita,Strength,Boy
Kidiika,Peace,Boy
Anraika,Light,Girl
Laruika,Divine,Girl
Shimideep,Strength,Boy
Kilaay,Kindness,Girl
Malaika,Love,Boy
Arriita,Strength,Girl
Avkaraj,Strength,Boy
Nasaansh,Grace,Girl
Aasaya,Wisdom,Boy
Aarriansh,Harmony,Girl
Arlaans,Hope,Girl
Banaika,Harmony,Girl
Bhmiika,Wisdom,Boy
Suviika,Light,Girl
Vipaika,Hope,Girl
Vimaesh,Strength,Boy
Bhriika,Energy,Girl
Triviraj,Strength,Girl
Ishvians,Strength,Girl
Adiniika,Victory,Girl
Padiika,Brilliance,Girl
Vishiesh,Brilliance,Boy
Ralaika,Light,Girl
Savaraj,Divine,Girl
Praman,Divine,Girl
Ashdiraj,Hope,Boy
Nashiav,Hope,Girl
Kimiita,Victory,Boy
Kanin,Grace,Boy
Trimiika,Joy,Girl
Ardiika,Victory,Boy
Tayaya,Strength,Boy
Ashmaika,Strength,Boy
Aymians,Divine,Boy
Vasaay,Hope,Girl
Vimaika,Strength,Boy
Ayyaav,Prosperity,Boy
Shikaans,Energy,Girl
Kisaya,Kindness,Girl
Pramiansh,Harmony,Boy
Deshiita,Prosperity,Girl
Yaraa,Hope,Girl
Mavaesh,Hope,Boy
Layaali,Victory,Boy
Anmiika,Victory,Girl
Raniita,Love,Boy
Aartan,Victory,Girl
Badian,Grace,Girl
Kirudeep,Prosperity,Boy
Matan,Love,Girl
Adilaesh,Joy,Boy
Aataika,Peace,Boy
Trimideep,Peace,Girl
Ishmaika,Light,Boy
Sulaav,Energy,Boy
Arnaika,Grace,Girl
Variita,Divine,Boy
Dashiika,Peace,Boy
Latait,Kindness,Girl
Ishnaan,Wisdom,Boy
Bhsait,Harmony,Girl
Kimaesh,Peace,Girl
Ramaans,Divine,Boy
Bhshiya,Kindness,Boy
Aarniika,Brilliance,Boy
Papaali,Kindness,Boy
Diniika,Hope,Boy
Galaali,Kindness,Girl
Adivan,Wisdom,Boy
Papaali,Victory,Boy
Prakaika,Kindness,Boy
Hadiav,Wisdom,Girl
Supaan,Joy,Boy
Maparaj,Grace,Girl
Ishruit,Love,Boy
Shiriita,Grace,Boy
Kiyait,Victory,Girl
Jarua,Harmony,Boy
Ashruita,Victory,Boy
Ratan,Prosperity,Girl
Rimiay,Light,Boy
Laruans,Joy,Boy
Shataali,Grace,Girl
Harait,Brilliance,Girl
Bhdiali,Strength,Girl
Kinaav,Kindness,Boy
Yariika,Victory,Boy
Naviraj,Love,Boy
Gataita,Joy,Boy
Avshiika,Joy,Girl
Janaan,Light,Boy
Palaita,Victory,Girl
Sasaay,Wisdom,Boy
Aarvait,Joy,Boy
Adiviita,Love,Girl
Mapaa,Divine,Girl
Kishideep,Strength,Boy
Trimaansh,Divine,Boy
Aytaika,Joy,Boy
Ashkait,Brilliance,Boy
Daviika,Hope,Boy
Diriesh,Strength,Boy
Demin,Light,Girl
Bataali,Victory,Boy
Javiika,Kindness,Boy
Ashrua,Prosperity,Girl
Vaviika,Hope,Boy
Deviraj,Brilliance,Girl
Prakaita,Light,Boy
Kilaika,Hope,Boy
Aarkaika,Kindness,Girl
Praviav,Brilliance,Boy
Dadideep,Brilliance,Girl
Ralaita,Divine,Girl
Prataya,Love,Girl
Laraita,Victory,Boy
Bhmaika,Grace,Girl
Aakaali,Harmony,Girl
Omruan,Brilliance,Girl
Aarradeep,Light,Boy
Lataav,Prosperity,Boy
Bhtait,Wisdom,Boy
Aataika,Harmony,Girl
Laniika,Victory,Boy
Bavaans,Hope,Boy
Kikaya,Victory,Boy
Rimaya,Wisdom,Boy
Diriita,Light,Girl
Pravaali,Wisdom,Boy
Omran,Wisdom,Boy
Aamiika,Kindness,Boy
Dakaika,Peace,Girl
Arnaav,Brilliance,Girl
Prataika,Harmony,Girl
Taniesh,Love,Girl
Trikaika,Strength,Girl
Pramaan,Victory,Girl
Divaan,Energy,Girl
Basaan,Joy,Boy
Arnaraj,Love,Girl
Ralaika,Kindness,Girl
Aarkaesh,Energy,Girl
Jariesh,Wisdom,Boy
Ashshiansh,Harmony,Boy
Sashiya,Prosperity,Boy
Nasaa,Kindness,Girl
Dikaika,Grace,Boy
Haruav,Kindness,Boy
Ashvaika,Brilliance,Girl
Vivians,Victory,Girl
Diyaika,Strength,Boy
Kitaali,Joy,Girl
Pasait,Energy,Boy
Radiika,Joy,Boy
Deshiit,Hope,Boy
Arruav,Prosperity,Girl
Shiraan,Victory,Boy
Dekaa,Light,Boy
Layaika,Kindness,Girl
Davaesh,Love,Girl
Kavait,Grace,Boy
Dekadeep,Prosperity,Boy
Detaraj,Hope,Boy
Vavaay,Divine,Girl
Pravaika,Grace,Girl
Mariika,Energy,Boy
Yashiika,Prosperity,Girl
Trimiav,Peace,Boy
Yapaansh,Peace,Girl
Vasaika,Prosperity,Boy
Papaika,Harmony,Boy
Ishniika,Victory,Girl
Naviit,Victory,Girl
Palaika,Light,Boy
Sharaan,Love,Girl
Maruansh,Joy,Boy
Bhkaan,Love,Girl
Arvait,Peace,Girl
Disaesh,Strength,Boy
Trikaay,Grace,Boy
Vivaay,Light,Girl
Shasadeep,Divine,Boy
Delaav,Energy,Girl
Haniansh,Divine,Boy
Jarun,Grace,Boy
Diyaika,Hope,Girl
Kiniesh,Love,Girl
Vinaraj,Harmony,Boy
Rishian,Brilliance,Boy
Avshiraj,Hope,Girl
Vimiraj,Prosperity,Boy
Anlaraj,Strength,Boy
Gadiika,Harmony,Boy
Sariansh,Hope,Girl
Prataa,Joy,Boy
Ashtaita,Joy,Boy
Prasaika,Joy,Boy
Avmaika,Kindness,Girl
Viriraj,Peace,Boy
Danaan,Light,Boy
Adilaesh,Harmony,Boy
Savadeep,Kindness,Boy
Kalaan,Energy,Boy
Ishpaika,Love,Boy
Rarian,Wisdom,Girl
Artaika,Wisdom,Girl
Avruav,Grace,Girl
Pravaika,Wisdom,Boy
Hayaay,Strength,Girl
Aymaraj,Energy,Girl
Dirideep,Kindness,Boy
Ayyadeep,Prosperity,Girl
Andiav,Wisdom,Girl
Anviika,Harmony,Girl
Adipaika,Grace,Girl
Ritait,Hope,Girl
Riviay,Strength,Boy
Rariali,Energy,Girl
Hariita,Energy,Girl
Prakaika,Joy,Boy
Viruika,Victory,Girl
Antaansh,Divine,Boy
Bamiika,Love,Girl
Tamaita,Kindness,Girl
Tataika,Wisdom,Boy
Ripaya,Harmony,Boy
Tamaans,Energy,Boy
Aarniansh,Light,Girl
Yaruay,Energy,Girl
Mapaav,Brilliance,Boy
Jariay,Divine,Girl
Annaan,Brilliance,Girl
Danaika,Brilliance,Girl
Ditait,Hope,Boy
Praraika,Hope,Boy
Adimaika,Prosperity,Girl
Paraav,Strength,Boy
Kilait,Divine,Boy
Jaruav,Brilliance,Boy
Susaya,Brilliance,Boy
Bashiesh,Kindness,Boy
Pradian,Energy,Girl
Vasaansh,Joy,Girl
Larua,Prosperity,Girl
Avraita,Harmony,Boy
Jadiay,Joy,Girl
Anraan,Kindness,Boy
Sataika,Grace,Boy
Bamaika,Kindness,Boy
Adisaya,Prosperity,Boy
Deviit,Grace,Boy
Ashmin,Kindness,Girl
Hasaa,Grace,Girl
Vayaali,Brilliance,Boy
Dimaali,Kindness,Boy
Aanaali,Brilliance,Girl
Nataita,Divine,Boy
Daruav,Strength,Boy
Avlaika,Strength,Girl
Dimiansh,Hope,Boy
Sudiita,Prosperity,Boy
Dipaay,Kindness,Boy
Aariita,Divine,Boy
Aditaali,Hope,Girl
Aadia,Energy,Boy
Omsaita,Strength,Boy
Janiav,Victory,Boy
Praviita,Divine,Boy
Aryan,Hope,Boy
Avria,Hope,Girl
Radiita,Harmony,Boy
Shiruay,Brilliance,Girl
Rinaali,Grace,Boy
Nashians,Harmony,Girl
Ayparaj,Grace,Girl
Yaviit,Wisdom,Boy
Deriay,Harmony,Boy
Takaav,Grace,Girl
Viraansh,Prosperity,Boy
Nadia,Divine,Boy
Arradeep,Joy,Boy
Riviay,Energy,Boy
Shilaraj,Harmony,Girl
Ashdiay,Peace,Girl
Malaa,Energy,Girl
Gataika,Brilliance,Girl
Kiran,Kindness,Girl
Kinaansh,Victory,Girl
Varun,Harmony,Girl
Shivaika,Energy,Boy
Bhmiya,Light,Girl
Laraya,Strength,Boy
Bavaav,Joy,Boy
Gashiav,Kindness,Boy
Lamin,Kindness,Boy
Ishniali,Strength,Boy
Omriansh,Wisdom,Girl
Ayriika,Strength,Boy
Riyaika,Prosperity,Girl
Sariika,Peace,Girl
Vinians,Divine,Girl
Halaika,Harmony,Girl
Tamideep,Divine,Girl
Ishdian,Divine,Boy
Ankadeep,Joy,Boy
Hamaa,Strength,Boy
Samiika,Energy,Girl
Ishpaan,Victory,Girl
Gariika,Hope,Boy
Yashiita,Energy,Boy
Tamideep,Brilliance,Boy
Aditaansh,Hope,Boy
Rimian,Light,Boy
Trivaika,Joy,Girl
Vikaansh,Joy,Girl
Demiika,Grace,Girl
Riyaika,Grace,Girl
Chataya,Divine,Girl
Chadians,Victory,Girl
Deshiav,Hope,Boy
Maviita,Love,Girl
Vitaav,Kindness,Boy
Kimaav,Light,Girl
Laniansh,Joy,Girl
Dayaraj,Light,Girl
Saruan,Victory,Boy
Sumait,Wisdom,Boy
Raraans,Brilliance,Girl
Adishiansh,Wisdom,Boy
Javiya,Grace,Boy
Viraa,Hope,Girl
Vimia,Prosperity,Boy
Kivaesh,Harmony,Boy
Jariesh,Brilliance,Boy
Viruit,Light,Boy
Bapaay,Hope,Boy
Navaita,Strength,Girl
Praviita,Divine,Girl
Nashia,Victory,Boy
Yarians,Love,Girl
Avruita,Prosperity,Girl
Makaay,Victory,Girl
Dasaav,Harmony,Boy
Vapaika,Prosperity,Girl
Kasaika,Energy,Girl
Pranan,Joy,Girl
Dalaav,Energy,Boy
Divia,Hope,Girl
Savia,Harmony,Girl
Bhvaika,Wisdom,Boy
Kipaav,Energy,Boy
Sayaesh,Kindness,Boy
Kamian,Grace,Boy
Shamiika,Prosperity,Girl
Anmait,Peace,Girl
Triniita,Peace,Girl
Arradeep,Victory,Boy
Chariesh,Grace,Boy
Haniali,Light,Boy
Ravians,Strength,Boy
Lamiya,Brilliance,Boy
Adiruika,Peace,Boy
Malaya,Victory,Girl
Aarnait,Peace,Boy
Karaita,Energy,Boy
Viraesh,Wisdom,Girl
Kapaika,Harmony,Boy
Aapaali,Love,Boy
Sayaraj,Harmony,Boy
Deviika,Prosperity,Girl
Bhmaans,Victory,Boy
Dinaya,Light,Girl
Viviita,Light,Girl
Tririit,Energy,Boy
Omraraj,Kindness,Girl
Varudeep,Hope,Girl
Dalaay,Hope,Boy
Ashmiita,Prosperity,Boy
Vinaraj,Victory,Boy
Vivaika,Strength,Girl
Lavaika,Energy,Boy
Kiyaan,Energy,Girl
Valaika,Prosperity,Boy
Varuali,Joy,Boy
Gapaan,Joy,Boy
Suvin,Light,Girl
Vimaan,Hope,Girl
Aakaa,Hope,Boy
Aarniita,Hope,Girl
Garuika,Strength,Girl
Diruali,Light,Boy
Ladiraj,Strength,Boy
Ayruika,Hope,Girl
Bhriit,Victory,Girl
Dasaika,Wisdom,Girl
Anpaita,Grace,Boy
Aynaansh,Grace,Girl
Aytaika,Energy,Boy
Ashviansh,Love,Boy
Aynan,Peace,Boy
Makaika,Kindness,Girl
Ishmia,Brilliance,Girl
Dipaa,Harmony,Girl
Ashkan,Peace,Girl
Kashin,Hope,Boy
Kashiya,Light,Girl
Omriika,Kindness,Boy
Shimaika,Joy,Girl
Shapaan,Light,Girl
Gadiita,Brilliance,Girl
Sanaa,Grace,Girl
Rasaansh,Light,Girl
Supaav,Divine,Boy
Hapaita,Joy,Boy
Shiladeep,Joy,Boy
Vapaita,Harmony,Girl
Aarpaika,Peace,Boy
Ladiali,Prosperity,Girl
Paraay,Brilliance,Girl
Vataika,Peace,Girl
Madiika,Grace,Girl
Omvaika,Wisdom,Boy
Kimiita,Strength,Girl
Ishtaita,Wisdom,Girl
Sasaita,Light,Boy
Aarraa,Prosperity,Boy
Tariya,Grace,Girl
Bhdiita,Joy,Boy
Kavaika,Love,Boy
Naviika,Brilliance,Boy
Triruali,Wisdom,Boy
Aykaans,Wisdom,Girl
Dariika,Harmony,Boy
Jashideep,Victory,Boy
Trimiika,Kindness,Girl
Rikaika,Strength,Boy
Kitaan,Victory,Boy
Aarniika,Peace,Boy
Ishniita,Love,Girl
Ishnait,Joy,Boy
Pataita,Harmony,Girl
Pramaika,Peace,Boy
Yaraika,Joy,Girl
Trivaa,Grace,Boy
Arlaav,Peace,Girl
Viruali,Divine,Girl
